AcedamicpercentageinOperating Systems,percentageinAlgorithms,PercentageinProgrammingConcepts,PercentageinSoftwareEngineering,PercentageinComputerNetworks,hackathons,codingskillsrating,certifications,talentteststaken,olympiads,memorycapabilityscore,Interestedsubjects,Typeofcompanywanttosettlein,ManagementorTechnical,workedinteamsever,SuggestedJobRole
69,63,78,87,94,0,4,shell programming,no,yes,excellent,cloud computing,Web Services,Management,yes,Database Developer
78,62,73,60,71,1,2,machine learning,no,no,medium,networks,SAaS services,Technical,no,Portal Administrator
71,86,91,87,61,4,1,app development,no,yes,excellent,hacking,Sales and Marketing,Management,no,Portal Administrator
76,87,60,84,89,1,2,python,yes,no,excellent,networks,Testing and Maintainance Services,Management,yes,Systems Security Administrator
92,62,90,67,71,4,6,app development,no,no,excellent,Computer Architecture,product development,Management,yes,Business Systems Analyst
88,86,62,79,93,3,8,python,no,no,medium,programming,Testing and Maintainance Services,Management,yes,Software Systems Engineer
93,77,69,79,90,2,3,r programming,no,no,poor,parallel computing,BPA,Technical,yes,Database Developer
84,72,88,62,66,1,6,r programming,no,yes,excellent,parallel computing,BPA,Technical,no,Business Intelligence Analyst
73,66,66,81,81,2,4,information security,yes,no,poor,IOT,BPA,Technical,yes,Business Systems Analyst
62,76,85,91,82,0,5,app development,yes,yes,poor,data engineering,product development,Management,yes,CRM Technical Developer
73,80,70,83,61,2,3,hadoop,no,yes,poor,parallel computing,Sales and Marketing,Management,yes,Mobile Applications Developer
63,76,81,90,70,6,9,machine learning,yes,yes,excellent,parallel computing,Testing and Maintainance Services,Management,yes,UX Designer
63,64,61,67,61,2,8,distro making,yes,no,poor,cloud computing,Service Based,Technical,yes,CRM Technical Developer
68,93,77,60,77,3,6,python,no,no,poor,parallel computing,Testing and Maintainance Services,Management,yes,Business Systems Analyst
90,83,66,71,65,2,3,machine learning,yes,yes,poor,Software Engineering,Testing and Maintainance Services,Management,yes,Quality Assurance Associate
94,71,63,74,61,6,5,information security,yes,no,excellent,networks,Testing and Maintainance Services,Technical,no,Web Developer
60,92,94,90,62,5,5,app development,no,no,medium,IOT,Sales and Marketing,Technical,yes,Web Developer
92,86,61,63,64,6,3,hadoop,no,no,excellent,hacking,product development,Management,yes,Information Security Analyst
82,91,68,86,78,0,7,machine learning,no,no,medium,Computer Architecture,Web Services,Technical,yes,CRM Business Analyst
90,73,90,67,63,0,2,hadoop,yes,yes,excellent,parallel computing,SAaS services,Management,no,Information Security Analyst
67,61,66,62,93,0,2,app development,yes,no,poor,parallel computing,Product based,Technical,yes,Database Developer
65,61,73,90,89,3,2,hadoop,no,yes,poor,hacking,BPA,Management,yes,Business Systems Analyst
84,62,70,70,67,6,4,r programming,yes,no,excellent,cloud computing,BPA,Management,no,Quality Assurance Associate
74,89,66,75,86,5,7,shell programming,yes,yes,poor,data engineering,Service Based,Management,no,Technical Support
92,67,76,92,69,5,5,full stack,yes,no,poor,parallel computing,product development,Technical,no,Technical Support
75,74,85,93,92,0,4,distro making,yes,no,excellent,networks,SAaS services,Technical,no,Information Security Analyst
90,82,75,72,84,5,1,python,no,yes,medium,programming,SAaS services,Management,yes,Business Intelligence Analyst
71,60,93,79,78,1,3,app development,no,yes,excellent,parallel computing,Web Services,Technical,no,Project Manager
83,82,64,70,93,0,1,app development,no,yes,medium,cloud computing,BPA,Management,no,Information Technology Manager
83,68,70,90,85,1,2,app development,yes,yes,poor,networks,Cloud Services,Management,yes,Web Developer
89,88,65,78,87,3,9,python,yes,no,medium,data engineering,BPA,Technical,no,Programmer Analyst
74,70,93,85,82,6,3,full stack,no,yes,poor,cloud computing,product development,Technical,no,Business Systems Analyst
80,85,68,64,86,4,7,shell programming,no,yes,excellent,data engineering,Finance,Technical,no,Systems Security Administrator
